taxonomy_id	name	rank	lineage	CF_03_pe_SRX5286929_SRR8482188_db1.centrifuge	CF_01_pe_SRX5286927_SRR8482190_db1.centrifuge	CF_06_pe_SRX5286932_SRR8482185_db1.centrifuge	CF_02_pe_SRX5286928_SRR8482189_db1.centrifuge	CF_07_pe_SRX5286933_SRR8482184_db1.centrifuge	CF_05_pe_SRX5286931_SRR8482186_db1.centrifuge	CF_04_pe_SRX5286930_SRR8482187_db1.centrifuge	CF_08_pe_SRX5286934_SRR8482183_db1.centrifuge	CF_10_pe_SRX5286936_SRR8482181_db1.centrifuge	CF_09_pe_SRX5286935_SRR8482182_db1.centrifuge	CF_16_pe_SRX5286942_SRR8482175_db1.centrifuge	CF_15_pe_SRX5286941_SRR8482176_db1.centrifuge	CF_14_pe_SRX5286940_SRR8482177_db1.centrifuge	CF_13_pe_SRX5286939_SRR8482178_db1.centrifuge	CF_11_pe_SRX5286937_SRR8482180_db1.centrifuge	CF_12_pe_SRX5286938_SRR8482179_db1.centrifuge	CF_18_pe_SRX5286944_SRR8482152_db1.centrifuge	CF_19_pe_SRX5286945_SRR8482172_db1.centrifuge	CF_20_pe_SRX5286946_SRR8482171_db1.centrifuge	CF_23_pe_SRX5286949_SRR8482168_db1.centrifuge	CF_17_pe_SRX5286943_SRR8482174_db1.centrifuge	CF_22_pe_SRX5286948_SRR8482169_db1.centrifuge	CF_28_pe_SRX5286954_SRR8482163_db1.centrifuge	CF_26_pe_SRX5286952_SRR8482165_db1.centrifuge	CF_21_pe_SRX5286947_SRR8482170_db1.centrifuge	CF_24_pe_SRX5286950_SRR8482167_db1.centrifuge	CF_25_pe_SRX5286951_SRR8482166_db1.centrifuge	CF_30_pe_SRX5286956_SRR8482161_db1.centrifuge	CF_31_pe_SRX5286957_SRR8482160_db1.centrifuge	CF_32_pe_SRX5286958_SRR8482159_db1.centrifuge	CF_29_pe_SRX5286955_SRR8482162_db1.centrifuge	CF_34_pe_SRX5286960_SRR8482157_db1.centrifuge	CF_33_pe_SRX5286959_SRR8482158_db1.centrifuge	CF_27_pe_SRX5286953_SRR8482164_db1.centrifuge	CF_39_pe_SRX5286965_SRR8482151_db1.centrifuge	CF_36_pe_SRX5286962_SRR8482155_db1.centrifuge	CF_37_pe_SRX5286963_SRR8482154_db1.centrifuge	CF_35_pe_SRX5286961_SRR8482156_db1.centrifuge	CF_40_pe_SRX5286966_SRR8482150_db1.centrifuge	CF_38_pe_SRX5286964_SRR8482153_db1.centrifuge	CF_41_pe_SRX5286967_SRR8482149_db1.centrifuge	CF_47_pe_SRX5286973_SRR8482143_db1.centrifuge	CF_43_pe_SRX5286969_SRR8482147_db1.centrifuge	CF_53_pe_SRX5286979_SRR8482137_db1.centrifuge	CF_42_pe_SRX5286968_SRR8482148_db1.centrifuge	CF_45_pe_SRX5286971_SRR8482145_db1.centrifuge	CF_44_pe_SRX5286970_SRR8482146_db1.centrifuge	CF_46_pe_SRX5286972_SRR8482144_db1.centrifuge	CF_49_pe_SRX5286975_SRR8482141_db1.centrifuge	CF_48_pe_SRX5286974_SRR8482142_db1.centrifuge	CF_55_pe_SRX5286981_SRR8482135_db1.centrifuge	CF_54_pe_SRX5286980_SRR8482136_db1.centrifuge	CF_50_pe_SRX5286976_SRR8482140_db1.centrifuge	CF_51_pe_SRX5286977_SRR8482139_db1.centrifuge	CF_52_pe_SRX5286978_SRR8482138_db1.centrifuge	CF_57_pe_SRX5286983_SRR8482133_db1.centrifuge	CF_61_pe_SRX5286987_SRR8482129_db1.centrifuge	CF_62_pe_SRX5286988_SRR8482128_db1.centrifuge	CF_60_pe_SRX5286986_SRR8482130_db1.centrifuge	CF_58_pe_SRX5286984_SRR8482132_db1.centrifuge	CF_66_pe_SRX5286992_SRR8482124_db1.centrifuge	CF_67_pe_SRX5286993_SRR8482123_db1.centrifuge	CF_70_pe_SRX5286996_SRR8482120_db1.centrifuge	CF_69_pe_SRX5286995_SRR8482121_db1.centrifuge	CF_63_pe_SRX5286989_SRR8482127_db1.centrifuge	CF_56_pe_SRX5286982_SRR8482134_db1.centrifuge	CF_59_pe_SRX5286985_SRR8482131_db1.centrifuge	CF_72_pe_SRX5286998_SRR8482118_db1.centrifuge	CF_73_pe_SRX5286999_SRR8482117_db1.centrifuge	CF_71_pe_SRX5286997_SRR8482119_db1.centrifuge	CF_65_pe_SRX5286991_SRR8482125_db1.centrifuge	CF_74_pe_SRX5287000_SRR8482116_db1.centrifuge	CF_77_pe_SRX5287003_SRR8482113_db1.centrifuge	CF_76_pe_SRX5287002_SRR8482114_db1.centrifuge	CF_64_pe_SRX5286990_SRR8482126_db1.centrifuge	CF_75_pe_SRX5287001_SRR8482115_db1.centrifuge	CF_68_pe_SRX5286994_SRR8482122_db1.centrifuge	CF_78_pe_SRX5287004_SRR8482112_db1.centrifuge	CF_79_pe_SRX5287005_SRR8482173_db1.centrifuge
693074	Caldisericum	genus	Caldisericum;Caldisericaceae;Caldisericales;Caldisericia;Caldisericota;Caldisericota/Cryosericota group;Bacteria;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
693075	Caldisericum exile	species	Caldisericum exile;Caldisericum;Caldisericaceae;Caldisericales;Caldisericia;Caldisericota;Caldisericota/Cryosericota group;Bacteria;cellular organisms;root	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1
511051	Caldisericum exile AZM16c01	strain	Caldisericum exile AZM16c01;Caldisericum exile;Caldisericum;Caldisericaceae;Caldisericales;Caldisericia;Caldisericota;Caldisericota/Cryosericota group;Bacteria;cellular organisms;root	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
200940	Thermodesulfobacteriota	phylum	Thermodesulfobacteriota;Bacteria;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67799	Thermodesulfobacteria	class	Thermodesulfobacteria;Thermodesulfobacteriota;Bacteria;cellular organisms;root	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1
188710	Thermodesulfobacteriales	order	Thermodesulfobacteriales;Thermodesulfobacteria;Thermodesulfobacteriota;Bacteria;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1
188711	Thermodesulfobacteriaceae	family	Thermodesulfobacteriaceae;Thermodesulfobacteriales;Thermodesulfobacteria;Thermodesulfobacteriota;Bacteria;cellular organisms;root	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
241192	Thermodesulfatator	genus	Thermodesulfatator;Thermodesulfatatoraceae;Thermodesulfobacteriales;Thermodesulfobacteria;Thermodesulfobacteriota;Bacteria;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
171695	Thermodesulfatator indicus	species	Thermodesulfatator indicus;Thermodesulfatator;Thermodesulfatatoraceae;Thermodesulfobacteriales;Thermodesulfobacteria;Thermodesulfobacteriota;Bacteria;cellular organisms;root	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
667014	Thermodesulfatator indicus DSM 15286	strain	Thermodesulfatator indicus DSM 15286;Thermodesulfatator indicus;Thermodesulfatator;Thermodesulfatatoraceae;Thermodesulfobacteriales;Thermodesulfobacteria;Thermodesulfobacteriota;Bacteria;cellular organisms;root	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
2157	Archaea	superkingdom	Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28890	Euryarchaeota	phylum	Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
183963	Halobacteria	class	Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1
2235	Halobacteriales	order	Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1
2236	Halobacteriaceae	family	Halobacteriaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1
2239	Halobacterium	genus	Halobacterium;Halobacteriaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
2242	Halobacterium salinarum	species	Halobacterium salinarum;Halobacterium;Halobacteriaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1
64091	Halobacterium salinarum NRC-1	no rank	Halobacterium salinarum NRC-1;Halobacterium salinarum NRC-34001;Halobacterium salinarum;Halobacterium;Halobacteriaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
478009	Halobacterium salinarum R1	no rank	Halobacterium salinarum R1;Halobacterium salinarum NRC-34001;Halobacterium salinarum;Halobacterium;Halobacteriaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
2237	Haloarcula	genus	Haloarcula;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
2238	Haloarcula marismortui	species	Haloarcula marismortui;Haloarcula;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272569	Haloarcula marismortui ATCC 43049	strain	Haloarcula marismortui ATCC 43049;Haloarcula marismortui;Haloarcula;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
63743	Natronomonas	genus	Natronomonas;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
416273	Natronomonas moolapensis	species	Natronomonas moolapensis;Natronomonas;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
268739	Natronomonas moolapensis 8.8.11	strain	Natronomonas moolapensis 8.8.11;Natronomonas moolapensis;Natronomonas;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
146825	Halorhabdus	genus	Halorhabdus;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430914	Halorhabdus tiamatea	species	Halorhabdus tiamatea;Halorhabdus;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033806	Halorhabdus tiamatea SARL4B	strain	Halorhabdus tiamatea SARL4B;Halorhabdus tiamatea;Halorhabdus;Haloarculaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
332246	Halalkalicoccus	genus	Halalkalicoccus;Halococcaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
413810	Halalkalicoccus jeotgali	species	Halalkalicoccus jeotgali;Halalkalicoccus;Halococcaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
795797	Halalkalicoccus jeotgali B3	strain	Halalkalicoccus jeotgali B3;Halalkalicoccus jeotgali;Halalkalicoccus;Halococcaceae;Halobacteriales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1644055	Haloferacales	order	Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1
1644056	Haloferacaceae	family	Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1
2251	Haloferax	genus	Haloferax;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2246	Haloferax volcanii	species	Haloferax volcanii;Haloferax;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309800	Haloferax volcanii DS2	strain	Haloferax volcanii DS2;Haloferax volcanii;Haloferax;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
2252	Haloferax mediterranei	species	Haloferax mediterranei;Haloferax;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
523841	Haloferax mediterranei ATCC 33500	strain	Haloferax mediterranei ATCC 33500;Haloferax mediterranei;Haloferax;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
35746	Haloferax gibbonsii	species	Haloferax gibbonsii;Haloferax;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
293431	Haloquadratum	genus	Haloquadratum;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
293091	Haloquadratum walsbyi	species	Haloquadratum walsbyi;Haloquadratum;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
362976	Haloquadratum walsbyi DSM 16790	strain	Haloquadratum walsbyi DSM 16790;Haloquadratum walsbyi;Haloquadratum;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1
768065	Haloquadratum walsbyi C23	strain	Haloquadratum walsbyi C23;Haloquadratum walsbyi;Haloquadratum;Haloferacaceae;Haloferacales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1
1644060	Natrialbales	order	Natrialbales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1
1644061	Natrialbaceae	family	Natrialbaceae;Natrialbales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1
63742	Natrialba	genus	Natrialba;Natrialbaceae;Natrialbales;Halobacteria;Stenosarchaea group;Euryarchaeota;Archaea;cellular organisms;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
